event_id;tilm_type;last_name;booking_id;registration_type;first_name;barcode;phone;email;registered_date;attendance;qid;question;answer
4414221;registrants;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4414221;waitlist;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4562770;registrants;NA;5341638;in-person;TRUE;NA;NA;14ff4c8e540e86791c72ac42b32a4d5c;2026-07-02T13:55:46+02:00;-;15967;Faculty;Faculty of Health and Medical Sciences (UCPH)
4562770;registrants;NA;5341638;in-person;TRUE;NA;NA;14ff4c8e540e86791c72ac42b32a4d5c;2026-07-02T13:55:46+02:00;-;15968;"Programme / Line of study (If not applicable, please write ""none"")";Life Science
4562770;registrants;NA;5341638;in-person;TRUE;NA;NA;14ff4c8e540e86791c72ac42b32a4d5c;2026-07-02T13:55:46+02:00;-;15969;Programme level;PhD
4562770;registrants;NA;5341638;in-person;TRUE;NA;NA;14ff4c8e540e86791c72ac42b32a4d5c;2026-07-02T13:55:46+02:00;-;15970;Level of experience in regards to course subject;Novice
4562770;registrants;NA;5341638;in-person;TRUE;NA;NA;14ff4c8e540e86791c72ac42b32a4d5c;2026-07-02T13:55:46+02:00;-;21065;Which operating system do you use?;Windows
4562770;registrants;NA;5341638;in-person;TRUE;NA;NA;14ff4c8e540e86791c72ac42b32a4d5c;2026-07-02T13:55:46+02:00;-;15973;Where did you hear about this event?;The library's web page
4562770;registrants;NA;5341638;in-person;TRUE;NA;NA;14ff4c8e540e86791c72ac42b32a4d5c;2026-07-02T13:55:46+02:00;-;15972;May we contact you in regards to future courses and events?;Yes
4562770;registrants;NA;5341638;in-person;TRUE;NA;NA;14ff4c8e540e86791c72ac42b32a4d5c;2026-07-02T13:55:46+02:00;-;15971;I hereby consent to The Royal Danish Library's Privacy and Personal Data Protection Policy (http://www.kb.dk/en/kb/webstedet/cookiepolitik.html).;I accept.
4562770;registrants;NA;5349366;in-person;TRUE;NA;NA;bb401e1b76ce06683c050deefe78e943;2026-07-28T09:00:07+02:00;-;15967;Faculty;Faculty of Health and Medical Sciences (UCPH)
4562770;registrants;NA;5349366;in-person;TRUE;NA;NA;bb401e1b76ce06683c050deefe78e943;2026-07-28T09:00:07+02:00;-;15968;"Programme / Line of study (If not applicable, please write ""none"")";Medicin
4562770;registrants;NA;5349366;in-person;TRUE;NA;NA;bb401e1b76ce06683c050deefe78e943;2026-07-28T09:00:07+02:00;-;15969;Programme level;Master
4562770;registrants;NA;5349366;in-person;TRUE;NA;NA;bb401e1b76ce06683c050deefe78e943;2026-07-28T09:00:07+02:00;-;15970;Level of experience in regards to course subject;Novice
4562770;registrants;NA;5349366;in-person;TRUE;NA;NA;bb401e1b76ce06683c050deefe78e943;2026-07-28T09:00:07+02:00;-;21065;Which operating system do you use?;macOS
4562770;registrants;NA;5349366;in-person;TRUE;NA;NA;bb401e1b76ce06683c050deefe78e943;2026-07-28T09:00:07+02:00;-;15973;Where did you hear about this event?;Other
4562770;registrants;NA;5349366;in-person;TRUE;NA;NA;bb401e1b76ce06683c050deefe78e943;2026-07-28T09:00:07+02:00;-;15972;May we contact you in regards to future courses and events?;Yes
4562770;registrants;NA;5349366;in-person;TRUE;NA;NA;bb401e1b76ce06683c050deefe78e943;2026-07-28T09:00:07+02:00;-;15971;I hereby consent to The Royal Danish Library's Privacy and Personal Data Protection Policy (http://www.kb.dk/en/kb/webstedet/cookiepolitik.html).;I accept.
4562770;registrants;NA;5352214;in-person;TRUE;NA;NA;db6d758fc16683960faf3a2b14858993;2026-08-06T13:01:11+02:00;-;15967;Faculty;Faculty of Social Sciences (UCPH)
4562770;registrants;NA;5352214;in-person;TRUE;NA;NA;db6d758fc16683960faf3a2b14858993;2026-08-06T13:01:11+02:00;-;15968;"Programme / Line of study (If not applicable, please write ""none"")";None
4562770;registrants;NA;5352214;in-person;TRUE;NA;NA;db6d758fc16683960faf3a2b14858993;2026-08-06T13:01:11+02:00;-;15969;Programme level;Other
4562770;registrants;NA;5352214;in-person;TRUE;NA;NA;db6d758fc16683960faf3a2b14858993;2026-08-06T13:01:11+02:00;-;15970;Level of experience in regards to course subject;Novice
4562770;registrants;NA;5352214;in-person;TRUE;NA;NA;db6d758fc16683960faf3a2b14858993;2026-08-06T13:01:11+02:00;-;21065;Which operating system do you use?;Windows
4562770;registrants;NA;5352214;in-person;TRUE;NA;NA;db6d758fc16683960faf3a2b14858993;2026-08-06T13:01:11+02:00;-;15973;Where did you hear about this event?;The library's web page
4562770;registrants;NA;5352214;in-person;TRUE;NA;NA;db6d758fc16683960faf3a2b14858993;2026-08-06T13:01:11+02:00;-;15972;May we contact you in regards to future courses and events?;Yes
4562770;registrants;NA;5352214;in-person;TRUE;NA;NA;db6d758fc16683960faf3a2b14858993;2026-08-06T13:01:11+02:00;-;15971;I hereby consent to The Royal Danish Library's Privacy and Personal Data Protection Policy (http://www.kb.dk/en/kb/webstedet/cookiepolitik.html).;I accept.
4562770;registrants;NA;5356039;in-person;TRUE;NA;NA;204d515157cccad1011c01ae04e36cb3;2026-08-16T21:58:15+02:00;-;15967;Faculty;Faculty of Health and Medical Sciences (UCPH)
4562770;registrants;NA;5356039;in-person;TRUE;NA;NA;204d515157cccad1011c01ae04e36cb3;2026-08-16T21:58:15+02:00;-;15968;"Programme / Line of study (If not applicable, please write ""none"")";none
